filename,duration,rms_mean,rms_std,rms_max,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,mel_spectrogram_mean,mel_spectrogram_std,VideoNumber,"GroupN(1=low(1-3),2=neutral(4-6),3=high(7-10))",PrefereneMean,PurchaseDesireMean,NarrativeInterityMean,EmpathyMean,TotalTime(S),ShotNumber,ShotMean,ad_id,id,std_x,std_y,combined_std,convex_hull_area,convex_hull_area_shapely,mean_euclidean_distance,intercept,preference,purchase
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_3j1YSSr3YPtngHQ,0.100716960322189,0.08760493752716701,0.133486071092381,0.089232494212962,0.089232494212962,0.11547971807505301,1,2,2
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_AFmEwxjVkY4JZjr,0.11359033445081801,0.105204551486515,0.15482493899281002,0.13945191936728302,0.13945191936728302,0.13431447819637202,1,2,2
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_2CJ9lKlK8Oi24Oe,0.107520962704024,0.101842609761635,0.14809684191049002,0.12996117862654302,0.12996117862654302,0.131018473692453,1,2,2
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_Q0zorPm6XzGXxYZ,0.096721234062277,0.11189631395322301,0.14790463885506802,0.13406153549382702,0.13406153549382702,0.126806806302024,1,2,2
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_u7DOP1sJ19ZOsxz,0.101011415095816,0.110999569767862,0.15008067986356502,0.11495828510802401,0.11495828510802401,0.131892195679156,1,2,2
100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp3,68.43,0.050166745,0.053737905,0.29554507,0.0413395720684902,0.0416434353194569,1852.5333734291232,1134.4129814014975,2447.9921614002005,828.7770420286228,173.24484106578225,288.9917223424264,-344.62772,61.20978,144.68001,46.415928,9.2087145,26.257132,10.230674,22.724354,10.097979,26.227205,3.2107396,14.220582,-2.802499,13.352055,0.55486375,13.38941,-2.1494474,10.288761,-4.089101,9.803427,0.5853302,9.660994,-4.5510283,11.801836,-6.108336,9.991483,0.34230956,0.3293231,0.29490426,0.28193814,0.29372743,0.29695204,0.32952172,0.31961825,0.35069868,0.3238693,0.35458604,0.3173043,0.39554217,0.32446724,0.41322157,0.31472898,0.40211663,0.3369454,0.3891539,0.31199208,0.36309183,0.33368,0.33945632,0.30912024,1.0589842,15.446228,100,1,3.33333333333333,3.0,6.66666666666667,2.33333333333333,69,26,2.6538461538461537,100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp4,R_2So6AHOrgO8Dxbu,0.10219395185252701,0.089392988330922,0.135774482720314,0.12058376736111101,0.12058376736111101,0.12152941713519601,1,1,1
100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp3,68.43,0.050166745,0.053737905,0.29554507,0.0413395720684902,0.0416434353194569,1852.5333734291232,1134.4129814014975,2447.9921614002005,828.7770420286228,173.24484106578225,288.9917223424264,-344.62772,61.20978,144.68001,46.415928,9.2087145,26.257132,10.230674,22.724354,10.097979,26.227205,3.2107396,14.220582,-2.802499,13.352055,0.55486375,13.38941,-2.1494474,10.288761,-4.089101,9.803427,0.5853302,9.660994,-4.5510283,11.801836,-6.108336,9.991483,0.34230956,0.3293231,0.29490426,0.28193814,0.29372743,0.29695204,0.32952172,0.31961825,0.35069868,0.3238693,0.35458604,0.3173043,0.39554217,0.32446724,0.41322157,0.31472898,0.40211663,0.3369454,0.3891539,0.31199208,0.36309183,0.33368,0.33945632,0.30912024,1.0589842,15.446228,100,1,3.33333333333333,3.0,6.66666666666667,2.33333333333333,69,26,2.6538461538461537,100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp4,R_245TtI9FfImM2ZM,0.09308810750538701,0.08161034797216,0.123796787741329,0.11265914351851801,0.11265914351851801,0.10909495054262801,1,1,1
100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp3,68.43,0.050166745,0.053737905,0.29554507,0.0413395720684902,0.0416434353194569,1852.5333734291232,1134.4129814014975,2447.9921614002005,828.7770420286228,173.24484106578225,288.9917223424264,-344.62772,61.20978,144.68001,46.415928,9.2087145,26.257132,10.230674,22.724354,10.097979,26.227205,3.2107396,14.220582,-2.802499,13.352055,0.55486375,13.38941,-2.1494474,10.288761,-4.089101,9.803427,0.5853302,9.660994,-4.5510283,11.801836,-6.108336,9.991483,0.34230956,0.3293231,0.29490426,0.28193814,0.29372743,0.29695204,0.32952172,0.31961825,0.35069868,0.3238693,0.35458604,0.3173043,0.39554217,0.32446724,0.41322157,0.31472898,0.40211663,0.3369454,0.3891539,0.31199208,0.36309183,0.33368,0.33945632,0.30912024,1.0589842,15.446228,100,1,3.33333333333333,3.0,6.66666666666667,2.33333333333333,69,26,2.6538461538461537,100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp4,R_u7DOP1sJ19ZOsxz,0.11514211942393401,0.08745723897021601,0.14459072001248602,0.11956621334876501,0.11956621334876501,0.13205585783600401,1,1,1
101+Welcome To Kendamil.mp3,60.3,0.063146956,0.04925597,0.26559502,0.0445946306736137,0.0554547908488492,2108.22860143347,1422.9511362101068,2701.3324965733523,943.9483093950568,295.8830303491869,495.3937581766885,-288.39764,80.83042,138.08981,36.881237,0.6669775,21.290997,29.73908,25.89818,5.393309,17.21746,15.27091,16.741302,-10.375774,13.578636,5.604162,11.858283,-2.4785962,9.590723,1.9229745,9.919012,2.9953773,9.131518,2.3323188,8.736097,0.2977251,7.804318,0.38275787,0.283794,0.35823002,0.29555917,0.35881865,0.29936302,0.44106978,0.34318167,0.43516952,0.33097008,0.4332236,0.28319559,0.545315,0.33039176,0.38472995,0.26778582,0.38831607,0.32177782,0.34805176,0.27875492,0.4293844,0.30993956,0.486598,0.3432769,1.2074012,14.360975,101,2,4.17647058823529,3.58823529411765,5.16666666666667,3.38888888888889,61,14,4.357142857142857,101+Welcome To Kendamil.mp4,R_2rhVJkESclh3soQ,0.13123235753707102,0.11206203867139,0.17256834059562,0.23237364969135801,0.23237364969135801,0.13923460261859602,1,2,2
101+Welcome To Kendamil.mp3,60.3,0.063146956,0.04925597,0.26559502,0.0445946306736137,0.0554547908488492,2108.22860143347,1422.9511362101068,2701.3324965733523,943.9483093950568,295.8830303491869,495.3937581766885,-288.39764,80.83042,138.08981,36.881237,0.6669775,21.290997,29.73908,25.89818,5.393309,17.21746,15.27091,16.741302,-10.375774,13.578636,5.604162,11.858283,-2.4785962,9.590723,1.9229745,9.919012,2.9953773,9.131518,2.3323188,8.736097,0.2977251,7.804318,0.38275787,0.283794,0.35823002,0.29555917,0.35881865,0.29936302,0.44106978,0.34318167,0.43516952,0.33097008,0.4332236,0.28319559,0.545315,0.33039176,0.38472995,0.26778582,0.38831607,0.32177782,0.34805176,0.27875492,0.4293844,0.30993956,0.486598,0.3432769,1.2074012,14.360975,101,2,4.17647058823529,3.58823529411765,5.16666666666667,3.38888888888889,61,14,4.357142857142857,101+Welcome To Kendamil.mp4,R_2cjymW7g7GFnOaL,0.09335937136796801,0.098226527407863,0.135515397312741,0.09444082754629601,0.09444082754629601,0.11380316255932602,1,2,2
